Item Name,Price
StarTech 6 ft Mini USB Cable - A to Left Angle Mini B (USB2HABM6LA),9.99
25SAT35HDD Startech 2.5inch To 3.5inch Sata Aluminum Hard Drive Adapter Enclosure With Ssd - Hdd Hei,34.25
MT Displays Window Frame,35.9
Acer - Adapter - 65 Watt - For Chromebk C720,47.18
Visual Land Prestige 7 Quad Core Tablet 16GB includes Bumper,69.99
StarTech.com 8U 19 Wall Mount Network Rack 12 Deep 2 Post Open Frame Server Room Rack for Data/AV/IT/Computer Equipment/Patch Panel with Cage Nuts & Screws 135lb Weight Capacity Black,89.77
Used Lenovo ThinkPad T430S 14 Laptop Windows 10 Home Intel Core i5-3320M Processor 8GB RAM 500GB Hard Drive,120.97
Restored Dell 14 E5420 Laptop PC with Intel Core i5 Processor 4GB Memory 128GB Hard Drive Windows 10 Pro (Refurbished),133.99
Used Dell Black 14 Latitude E6430 WA5-1037 Laptop PC with Intel Core i5-3320M Processor 8GB Memory 750GB Hard Drive and Windows 10 Home,142.95
Used Lenovo Thinkpad T440 14 HD i5-4200U 1.6GHz 8GB RAM 500GB 7200rpm Hard Drive Windows 10 Pro 64,172.2
Restored Dell Latitude E5440 14 Laptop Windows 10 Pro Intel Core i5-4300U Processor 16GB RAM 240GB Solid State Drive (Refurbished),185.21
Used HP Ultrabook 14 EliteBook Folio 9470M WA5-0889 Laptop PC with Intel Core i5-3427U Processor 8GB Memory 256GB Solid State Drive and Windows 10 Pro,198.98
Dell Inspiron 16 Plus-7610 16 16GB 1TB SSD Coreâ„¢ i7-11800H 2.6GHz Win10H Mist Blue (Used),199.99
Restored Dell E5440 14 Laptop Windows 10 Pro Intel Core i3-4010U Processor 4GB RAM 128GB Solid State Drive (Refurbished),199.99
Restored HP ProBook 640 G1 14 Laptop Windows 10 Pro Intel Core i5-4300M Processor 8GB RAM 240GB Solid State Drive (Refurbished),218.93
Used Lenovo 15.5 T510 Laptop PC with Intel Core i5 Processor 4GB Memory 128GB Solid State Drive and Windows 10 Pro,289.99
Microsoft Surface Book Laptop 13.5 8GB/128GB Intel Core i5 processor Windows 10 Pro,559.98
Tripp Lite Rack Console KVM Cable Kit w/ 19 LCD PS/2 1U TAA GSA,992.34
"Lenovo Yoga C940 Intel 2-in-1 Laptop - 14"" - Intel Core i5 Processor (1.10 GHz) - 256GB SSD - 8GB RAM",1249.99
HP Omen Laptop 17.3IN Intel Core i7-9750H 16GB DDR4 1TB 7200RPM 256GB SSD NVIDIA GeForce RTX 2060 6GB 17-cb0030nr,1429.99
