Item Name,Price
Life Of The Party Soap Mold 7.75 X10.25 -4 Cavity - Ovals & Rounds,7.76
O Keeffe s For Healthy Feet Cream (2.7 oz.) Jar for extremely dry cracked feet,7.97
Plus Size Women's Cocoa And Cupuacu Butters Body Lotion -6 Oz Body Lotion by Burts Bees in O,10.99
"Travelon Weekend Edition Independence Bag, Berry",10.99
HL654 Lite Oil,11.49
Soothing Touch Bath Body and Massage Oil - Rest & Relax 8 fl oz Liquid,12.81
Soothing Touch Bath Body and Massage Oil Muscle Comfort - Peppermint Rosemary,12.89
Blum Naturals Daily Cleansing & Makeup Remover - Pro Age 30 Ct,13.94
Plus Size Women's Truly Glowing Gel Cleanser -6 Oz Cleanser by Burts Bees in O,13.99
Soothing Touch Bath Body and Massage Oil - Purifying - Eucalyptus Spruce - 8 oz,14.61
Dark Spot Brightening Serum 1 fl oz (29.5 ml) Reviva Labs,17.58
Collagen-Fibre Eye Pads 3 Sets Reviva Labs,18.76
WaxWel Scented Paraffin Wax Bath Beads Professional Home and Spa Soothing Moisturizing Therapy Warmer Refill Pellets 3 Pound Tub of Pastilles Fresh Wintergreen Fragrance,19.55
MICHAELS Soap Making Olive Oil Glycerin Soap by Make MarketÂ®,23.67
WaxWel Paraffin Wax Bath Accessory Package Professional Home and Spa Soothing Moisturizing Therapy Refill 6 Scented Wax Blocks 1 Pound Each Rose Blossom Fragrance,34.1
MICHAELS Double Butter Glycerin Soap by Make MarketÂ®,34.62
David King & Co 415C Large Shave Kit- Cafe,35.95
"Dopp Men's Super Travel Kit with Bonus Items, Black",48.84
"ZEP ZUCBHC484 48 oz. Gel Hand Cleaner Pump Bottle, PK 4",62.89
"SC JOHNSON PROFESSIONAL SBS100ML After Work Hand Lotion,Medicated,PK12",69.99
